name,domestic,foreign
Bako National Park,17896,28211
Gunung Mulu National Park,5780,12843
Niah National Park,21866,5189
Lambir Hills National Park,12902,3401
Similajau National Park,11727,2676
Kubah National Park,16185,3163
Gunung Gading National Park,16185,2082
Batang Ai National Park,50,24
Matang Wildlife Centre,33162,3690
Semenggoh Nature Reserves,46304,30335
Sama Jaya Forest Park,169756,3941
Loagan Bunut National Park,1048,51
Tanjung Datu National Park,536,477
Wind Cave Nature Reserves,23911,3761
Talang Satang National Park,266,963
Fairy Cave National Reserves,20146,5081
Santubong National Park,8074,2017
Maludam National Park,0,6
