name,domestic,foreign
Bako National Park,22964,40832
Gunung Mulu National Park,5815,15850
Niah National Park,20226,6210
Lambir Hills National Park,9360,2807
Similajau National Park,9652,1823
Kubah National Park,14011,4873
Gunung Gading National Park,15707,3491
Batang Ai National Park,76,83
Matang Wildlife Centre,32438,4434
Semenggoh Nature Reserves,45983,43255
Loagan Bunut National Park,382,42
Tanjung Datu National Park,933,599
Wind Cave Nature Reserves,18193,5150
Talang Satang National Park,189,514
Fairy Cave Nature Reserves,17279,7118
Santubong National Park,22216,3828
Maludam National Park,139,1
Sama Jaya Nature Reserves,162747,2492
