name,domestic,foreign
Bako National Park, 19941, 40406
Gunung Mulu National Park, 5976, 15046
Niah National Park, 19319, 5188
Lambir Hills National Park, 10479, 2679
Similajau National Park, 12736, 1141
Kubah National Park, 10833, 5143
Gunung Gading National Park, 9755, 3164
Batang Ai National Park, 31, 50
Matang Wildlife Centre, 25463, 4909
Semenggoh Nature Reserves, 46305, 49691
Tanjung Datu National Park, 922, 795
Wind Cave Nature Reserves, 11690, 4152
Talang Satang National Park, 87, 669
Fairy Cave Nature Reserves, -, Under renovation
Santubong National Park, 15508, 3789
Maludam National Park, 20, 8
Sama Jaya Nature Reserves, 118434, 2176
Piasau Nature Reserves, 5995, 317
Bukit Sembling, 17834, 189
Bukit Lima, 7036, -
Loagan Bunut National Park, 462, 47
