name,domestic,foreign
Bako National Park,12019,29451
Mulu National Park,7099,15227
Niah National Park,18977,6416
Lambir National Park,11438,3799
Similajau National Park,10490,1824
Kubah National Park,6647,2047
Gading National Park,22964,4247
Batang Ai National Park,135,53
Matang National Park,29590,5556
Semenggoh Wildlife Sanctuary,76748,51197
Sama Jaya National Reserves,154311,N/A
Loagan Bunut National Park,638,130
Tanjung Datu National Park,231,133
Wind Cave,13324,2423
Talang Satang,428,47
Maludam National Reserves,0,N/A
