name,domestic,foreign
Bako National Park,13476,30993
Mulu National Park,2377,13331
Niah National Park,18868,6295
Lambir National Park,13019,4854
Similajau National Park,12016,1123
Kubah National Park,9686,5931
Gading National Park,20421,5624
Batang Ai National Park,62,91
Matang National Park,19735,3180
Semenggoh Wildlife Sanctuary,60567,41725
Sama Jaya National Reserves,126901,N/A
Loagan Bunut National Park,638,22
Tanjung Datu National Park,254,150
Wind Cave,12961,6056
Talang Satang,664,485
Maludam National Reserves,0,N/A
