name,domestic,foreign
Bako National Park, 7511, 4887
Gunung Mulu National Park, 2090, 2033
Niah National Park, 6776, 834
Lambir Hills National Park, 2437, 534
Similajau National Park, 1617, 226
Kubah National Park, 8567, 652
Gunung Gading National Park, 2547, 279
Batang Ai National Park, 6, 0
Matang Wildlife Centre, 262, 63
Semenggoh Nature Reserves, 6818, 4846
Loagan Bunut National Park, 723, 21
Tanjung Datu National Park, 479, 65
Wind Cave Nature Reserves, 1980, 346
Talang Satang National Park, 797, 0
Fairy Cave Nature Reserves, Under renovation, Under renovation
Santubong National Park, 6051, 654
Maludam National Park, 68, 2
Sama Jaya Nature Reserves, 72706, 731
Piasau Nature Reserves, 4768, 60
Bukit Sembling, 4782, 41
Bukit Lima, 24447, 3
Kuching Wetland National Park, 9, 1
Miri-Sibuti Coral Reefs National Park, 1029, -
