name,domestic,foreign
Bako National Park,20660,30610
Gunung Mulu National Park,7688,14700
Niah National Park,24847,5389
Lambir Hills National Park,13994,3524
Similajau National Park,12211,2211
Kubah National Park,17446,3730
Gunung Gading National Park,16981,1858
Batang Ai National Park,50,24
Matang Wildlife Centre,35408,4014
Semenggoh Nature Reserves,48779,34330
Loagan Bunut National Park,1002,84
Tanjung Datu National Park,706,405
Wind Cave Nature Reserves,25047,4080
Talang Satang National Park,244,852
Fairy Cave Nature Reserves,23560,5576
Santubong National Park,20109,2600
Maludam National Park,-,-
