name,domestic,foreign
Bako National Park, 4313, 161
Kubah National Park, 6195, 76
Gunung Gading National Park, 3547, 40
Batang Ai National Park, 34, 0
Matang Wildlife Centre, 3897, 16
Semenggoh Nature Reserves, 10297, 350
Wind Cave Nature Reserves, 49, 0
Fairy Cave Nature Reserves, Under Renovation, Under Renovation
Sama Jaya Nature Reserves, 86364, 527
Tanjung Datu National Park, 295, 0
Talang Satang National Park, 17, 0
Santubong National Park, 3506, 35
Kuching Wetland National Park, 0, 0
Similajau National Park, 9, 0
Bukit Kana National Park, 4, 0
Niah National Park, 5105, 117
Lambir Hills National Park, 7087, 56
Loagan Bunut National Park, 459, 14
Gunung Mulu National Park, 2216, 125
Piasau Nature Reserves, 7253, 0
Miri-Sibuti Coral Reefs National Park, 127, 52
Maludam National Park, 1, 0
Bukit Lima, 11732, 0
Bukit Sembling, 4278, 0
