name,domestic,foreign
Bako National Park,13112,32344
Mulu National Park,6286,12871
Niah National Park,20543,5863
Lambir National Park,11406,3279
Similajau National Park,9835,1226
Kubah National Park,7260,2787
Gading National Park,14162,3524
Batang Ai National Park,142,74
Matang National Park,20695,3236
Semenggoh Wildlife Sanctuary,63986,36824
Sama Jaya National Reserves,109339,42
Loagan Bunut National Park,586,64
Tanjung Datu National Park,235,179
Wind Cave,23508,4103
Talang Satang,398,1503
Maludam National Reserves,0,N/A
