name,domestic,foreign
Bako National Park,14837,32622
Gunung Mulu National Park,6549,13635
Niah National Park,19829,5684
Lambir Hills National Park,13776,3727
Similajau National Park,12087,1288
Kubah National Park,9147,3481
Gunung Gading National Park,18101,2868
Batang Ai National Park,36,34
Matang Wildlife Centre,28834,5059
Semenggoh Nature Reserves,57508,34889
Sama Jaya Forest Park,147467,15
Loagan Bunut National Park,847,32
Tanjung Datu National Park,191,340
Wind Cave Nature Reserves,25286,4446
Talang Satang National Park,398,1108
Fairy Cave National Reserves,17532,5804
