name,domestic,foreign,year
Talang Satang National Park, 87, 669,2019
Santubong National Park, 15508, 3789,2019
Maludam National Park, 20, 8,2019
Sama Jaya Nature Reserves, 118434, 2176,2019
Piasau Nature Reserves, 5995, 317,2019
Bukit Sembling, 17834, 189,2019
Bukit Lima, 7036, -,2019
Loagan Bunut National Park, 462, 47,2019
Semenggoh Nature Reserves, 46305, 49691,2019
Fairy Cave Nature Reserves, -, Under renovation,2019
Bako National Park, 7511, 4887,2020
Miri-Sibuti Coral Reefs National Park, 1029, -,2020
Gunung Mulu National Park, 2090, 2033,2020
Niah National Park, 6776, 834,2020
Lambir Hills National Park, 2437, 534,2020
Similajau National Park, 1617, 226,2020
Kubah National Park, 8567, 652,2020
Batang Ai National Park, 6, 0,2020
Matang Wildlife Centre, 262, 63,2020
Semenggoh Nature Reserves, 6818, 4846,2020
Loagan Bunut National Park, 723, 21,2020
Tanjung Datu National Park, 479, 65,2020
Gunung Gading National Park, 2547, 279,2020
Talang Satang National Park, 797, 0,2020
Fairy Cave Nature Reserves, Under renovation, Under renovation,2020
Santubong National Park, 6051, 654,2020
Maludam National Park, 68, 2,2020
Sama Jaya Nature Reserves, 72706, 731,2020
Piasau Nature Reserves, 4768, 60,2020
Bukit Sembling, 4782, 41,2020
Bukit Lima, 24447, 3,2020
Kuching Wetland National Park, 9, 1,2020
Wind Cave Nature Reserves, 1980, 346,2020
Similajau National Park, 9, 0,2021
Bukit Kana National Park, 4, 0,2021
Niah National Park, 5105, 117,2021
Lambir Hills National Park, 7087, 56,2021
Maludam National Park, 1, 0,2021
Gunung Mulu National Park, 2216, 125,2021
Piasau Nature Reserves, 7253, 0,2021
Miri-Sibuti Coral Reefs National Park, 127, 52,2021
Kuching Wetland National Park, 0, 0,2021
Loagan Bunut National Park, 459, 14,2021
Santubong National Park, 3506, 35,2021
Bako National Park, 4313, 161,2021
Tanjung Datu National Park, 295, 0,2021
Sama Jaya Nature Reserves, 86364, 527,2021
Fairy Cave Nature Reserves, Under Renovation, Under Renovation,2021
Wind Cave Nature Reserves, 49, 0,2021
Semenggoh Nature Reserves, 10297, 350,2021
Matang Wildlife Centre, 3897, 16,2021
Batang Ai National Park, 34, 0,2021
Gunung Gading National Park, 3547, 40,2021
Kubah National Park, 6195, 76,2021
Bukit Lima, 11732, 0,2021
Talang Satang National Park, 17, 0,2021
Bukit Sembling, 4278, 0,2021
