name,visitor
Museum Sarawak,400465
Dewan Tun Razak,183198
Chinese History Museum,49187
Islamic Heritage Museum,89155
Limbang Regional Museum (Old Fort),1735
Baram Regional Museum (Fort Hose),11994
Niah Archaeology Museum,21418
Fort Margherita (Brooke Gallery),38212
Sarawak Textile Museum,49200
Petroleum Museum,79532
Sarawak Arts Museum,66224
Natural History Museum,14302
Fort Emma,-
Cat Museum,71258
