name,visitor
Sarawak Arts Museum,372048
Dewan Tun Razak,47126
Chinese History Museum,57582
Islamic Heritage Museum,76915
Limbang Regional Museum (Old Fort),3346
Baram Regional Museum (Fort Hose),24424
Niah Archaeology Museum,17173
Fort Margherita (Brooke Gallery),4723
Sarawak Textile Museum,59105
Petroleum Museum,29052
Art Museum,37962
Natural History Museum,38012
Cat Museum,79353
