name,visitor
Museum Sarawak,184891
Chinese History Museum,50261
Islamic Heritage Museum,25361
Limbang Regional Museum (Old Fort),4430
Baram Regional Museum (Fort Hose),13069
Niah Archaeology Museum,17642
Fort Margherita (Brooke Gallery),16944
Sarawak Textile Museum,79090
Petroleum Museum,33794
Natural History Museum,24918
Cat Museum,75753
Sri Aman Heritage Museum (Fort Alice),23662
