name,visitor
Museum Sarawak,596478
Dewan Tun Razak,118827
Chinese History Museum,126214
Islamic Heritage Museum,35982
Limbang Regional Museum (Old Fort),4101
Baram Regional Museum (Fort Hose),22332
Niah Archaeology Museum,18978
Fort Margherita (Brooke Gallery),52573
Sarawak Textile Museum,56629
Petroleum Museum,73394
Sarawak Arts Museum,111708
Natural History Museum,28056
Fort Emma,745
Cat Museum,108502
