name,visitor
Museum Sarawak (New),-
Chinese History Museum,1161
Islamic Heritage Museum,1299
Limbang Regional Museum (Old Fort),132
Baram Regional Museum (Fort Hose),-
Niah Archaeology Museum - Miri,-
Fort Margherita (Brooke Gallery),2293
Sarawak Textile Museum,482
Petroleum Museum - Miri,3457
Natural History Museum,4916
Sarawak Arts Museum,-
Sri Aman Heritage Museum (Fort Alice),1652
Cat Museum,5595
