name,visitor
Sarawak Arts Museum,408972
Dewan Tun Razak,263015
Chinese History Museum,46464
Islamic Heritage Museum,97446
Limbang Regional Museum (Old Fort),1832
Baram Regional Museum (Fort Hose),12269
Niah Archaeology Museum,19589
Fort Margherita (Brooke Gallery),N/A
Sarawak Textile Museum,48682
Petroleum Museum,20138
Art Museum,57847
Natural History Museum,42189
Cat Museum,72449
